File,Page,text,text_clean
Classroom Age Composition and the schoolreadiness.pdf,2,"Prior research has suggested two primary reasons that  peer effects may be important in early childhood class- rooms. One is the direct-effects pathway (Justice et al.,  2014, Mashburn et al., 2009). In this pathway, children  are directly influenced by their peer’s abilities. From this  perspective, one would hypothesize that mixed-age  classrooms would be beneficial for younger children but  may be deleterious for the skill development of older  children. The second is an indirect-effects pathway,  whereby teachers modify their classroom practices to  accommodate a wide range of skill levels, which can lead  to less challenging content and potential disengagement  for older children (Urberg & Kaplan, 1986). This pathway  is particularly salient when considering children’s behav- ior, as having a wide range of behaviors in the classroom  or a high concentration of problem behaviors is challeng- ing for teachers to manage (Yudron, Jones, & Raver,  2014), therefore, teachers of mixed-age classrooms may  spend more time on classroom management than on  activities that facilitate children’s learning. While both of  these pathways for peer effects seem feasible, the evi- dence regarding mixed-age preschool classrooms has  been ambiguous, with some studies documenting posi- tive effects (Blasco, Bailey, & Burchinal, 1993, Goldman,  1981, Guo, Tompkins, Justice, & Petscher, 2014), and oth- ers documenting null or negative associations (Bell,  Greenfield, & Bulotsky-Shearer, 2013, Moller, Forbes- Jones, & Hightower, 2008, Urberg & Kaplan, 1986, Winsler  et al., 2002). Given the conflicting evidence, it remains  unclear whether children benefit from being in mixed- age versus restricted-age classrooms and, if there is an  advantage, whether this applies to younger or older  children.",prior research suggest two primari reason peer effect may import earli childhood class- room one direct pathway justic et al 2014 mashburn 2009 child directli influenc ’s abil perspect would hypothes mix age classroom benefici younger deleteri skill develop older second indirect wherebi teacher modifi practic accommod wide rang level can lead less challeng content potenti disengag urberg kaplan 1986 particularli salient when consid behav- ior behavior high concentr problem challeng- ing manag yudron raver therefor spend more time than activ facilit learn while seem feasibl evi- denc regard preschool ambigu some studi document posi- tive burchin 1993 goldman 1981 guo tompkin petscher oth- er null neg associ bell greenfield bulotski shearer 2013 moller forbes- jone hightow 2008 winsler 2002 given conflict evid remain unclear whether benefit mixed- versu restrict advantag appli
Classroom Age Composition and the schoolreadiness.pdf,2,"Recent studies that have tried to address these out- standing issues have been limited in a few notable ways.  First, these studies have not examined these processes  using a national data set, and, therefore, some of the con- flicting evidence may be the result of prior studies having  generally used small and localized samples (Blasco et al.,  1993, Goldman, 1981, Guo et  al., 2014, Winsler et  al.,  2002). Second, although two studies (Bell et  al., 2013,  Moller et al., 2008) provided much needed—albeit con- flicting—evidence on the potential outcomes of mixed- age classrooms for low-income children, they relied on  teachers’ reports of children’s academic skills. This is  problematic because these reports are likely to be biased  and reflect teachers’ perceptions of children’s abilities  relative to those of their classmates (Guo et  al., 2014,  Mashburn et al., 2009), which may be particularly con- two age cohorts of children. Third, researchers have usu- ally failed to control for other classroom processes and  selection factors, thus limiting their ability to draw firm  conclusions about class composition. Finally, although  restricted-age classrooms may be more effective than  mixed-age classrooms (Moller et  al., 2008), it may not  always be feasible to separately serve 3- and 4-year-olds  in all areas of the country (Veenman, 1995), in other  words, mixed-age classrooms are sometimes created out  of necessity. Thus, an additional scientific and policy  question that remains to be answered is whether there is  a threshold or tipping point at which the ratio of younger  to older students in mixed-age classrooms has a more  deleterious or positive effect for children.",recent studi tri address out- stand issu limit few notabl way first not examin process use nation data set therefor some con- flict evid may result prior gener small local sampl blasco et al 1993 goldman 1981 guo 2014 winsler 2002 second although two bell 2013 moller 2008 provid much need albeit potenti outcom mixed- age classroom low incom child reli teacher report ’s academ skill problemat like bias reflect percept abil rel classmat mashburn 2009 particularli cohort third research usu- alli fail control select factor thu draw firm conclus class composit final restrict more effect than mix alway feasibl separ serv 3- year old all area countri veenman 1995 word sometim creat necess addit scientif polici question remain answer whether threshold tip point ratio younger older student deleteri posit
Classroom Age Composition and the schoolreadiness.pdf,2,"Our objective in the present investigation was to  address these gaps in knowledge by using data from the  Family and Child Experiences Survey (FACES) 2009  cohort to examine (a) whether classroom age composi- tion affects 3- and 4-year-olds’ school readiness and (b)  whether there is a threshold at which the associations  between classroom age composition and children’s  school readiness are stronger (or weaker). In addressing  these questions, we are poised to answer both a basic  developmental question regarding the role of peer effects  in early care and education programs as well as a policy  question regarding the implications of mixed-age class- rooms for Head Start children across the nation.",object present investig address gap knowledg use data famili child experi survey face 2009 cohort examin whether classroom age composi- tion affect 3- year old school readi threshold associ composit ’s stronger weaker question pois answer basic development regard role peer effect earli care educ program well polici implic mix class- room head start across nation
Classroom Age Composition and Vocabulary Development Among At-Risk Preschoolers.pdf,1,"Classroom Age Composition and Vocabulary Development Among At-Risk Preschoolers, Early",classroom age composit vocabulari develop among risk preschool earli
Classroom Age Composition and Vocabulary Development Among At-Risk Preschoolers.pdf,2,"Research Findings:  The purpose of this exploratory study was to examine the relationship between classroom age composition and preschoolers’ vocabulary gains over an academic year and also to examine whether these relations were moderated by classroom quality. In this study ( N  ¼  130 chil- dren in 16 classrooms representing a subset of all children enrolled in these classrooms), results showed a significant cross-level interaction between classroom age composition and children’s age, suggesting positive effects of greater variance in classroom age composition for younger but not older children. The interaction between behavior management (1 dimension of classroom quality) and classroom age composition was also significant, indicating that a wider distribution of classroom age composition was positively related to children’s vocabulary gains within class- rooms characterized by better behavior management.  Practice or Policy:  Findings underscore the importance of children’s social interactions with more knowledgeable conversational partners in pro- moting their vocabulary development and signify the need to help teachers learn how to manage chil- dren’s behaviors so as to provide a classroom that is optimal for child learning.",research find purpos exploratori studi examin relationship classroom age composit preschool vocabulari gain academ year also whether relat moder qualiti 1⁄4 130 chil- dren 16 repres subset all child enrol result show signific cross level interact ’s suggest posit effect greater varianc younger not older behavior manag dimens indic wider distribut within class- room character better practic polici underscor import social more knowledg convers partner pro- mote develop signifi need help teacher learn provid optim
Classroom Age Composition and Vocabulary Development Among At-Risk Preschoolers.pdf,2,"Vocabulary development is often a focus of applied developmental research addressing early childhood programming because of its central importance to children’s school readiness and later academic achievement (e.g., Justice, Mashburn, Pence, & Wiggins, 2008, Wasik, Bond, & Hindman, 2006). In fact, preschool children’s vocabulary skills consistently predict later achievement in reading comprehension (Hindman, Skibbe, Miller, & Zimmerman, 2010, National Institute of Child Health and Human Development Early Child Care Research Network, 2005, Storch & Whitehurst, 2002), and early delays in vocabulary development have",vocabulari develop often focu appli development research address earli childhood program central import child ’s school readi later academ achiev e.g. justic mashburn penni wiggin 2008 wasik bond hindman 2006 fact preschool skill consist predict read comprehens skibb miller 2010 nation institut health human care network 2005 storch whitehurst 2002 delay
Classroom Age Composition and Vocabulary Development Among At-Risk Preschoolers.pdf,2,"Early Education and Development , 25: 1016–1034 ISSN: 1040-9289 print/1556-6935 online",earli educ develop 25 1016–1034 issn 1040 9289 print/1556 6935 onlin
Classroom Age Composition and Vocabulary Development Among At-Risk Preschoolers.pdf,3,"been associated with later reading difficulties (Catts, Fey, Tomblin, & Zhang, 2002). Of concern to researchers, practitioners, and policymakers are those young children reared in poverty, given their well-documented early lags in vocabulary development (Hart & Risley, 1995) that typically persist as they progress from elementary to high school (Puma et al., 1997).",associ later read difficulti catt fey tomblin 2002 concern research practition policymak young child rear poverti given well document earli lag vocabulari develop hart risley 1995 typic persist progress elementari high school puma et al 1997
Classroom Age Composition and Vocabulary Development Among At-Risk Preschoolers.pdf,3,"Not surprisingly, considerable attention has focused on ways to facilitate the early vocabulary development of preschool children from lower socioeconomic status backgrounds in order to mitigate the well-documented achievement gap in the area of vocabulary (e.g., Neuman & Celano, 2001, Tabors, 1997, Wasik et al., 2006, Weizman & Snow, 2001, Wells, 1986). For instance, recent research has focused on the role that young children’s peers may play in facil- itating vocabulary development (e.g., Henry & Rickman, 2007, Mashburn, Justice, Downer, & Pianta, 2009). These investigations of peer effects within preschool classrooms show that the language skills of children’s classmates are a significant and unique predictor of language growth, even beyond effects attributable to instructional quality (Mashburn et al., 2009). Specifi- cally, higher peer language skills were positively related to children’s language outcomes during prekindergarten, indicating that children may benefit from being in a classroom that, in the aggregate, contains older, more cognitively advanced children and that this is particularly true for children with lower language skills. Such findings suggest that classroom age composition may be an important consideration in understanding factors that influence children’s vocabulary development within early education settings, as it provides information about peer characteristics in the classroom. For instance, if children’s vocabulary growth is facilitated through their interactions with peers, it may be important for younger children (e.g., 3-year-olds) to have opportunities to interact with older preschoolers, as would occur in mixed-age classrooms that serve 3-, 4-, and 5-year-olds.",not surprisingli consider attent focus way facilit earli vocabulari develop preschool child lower socioeconom statu background order mitig well document achiev gap area e.g. neuman celano 2001 1997 wasik et 2006 weizman snow 1986 instanc recent research role young ’s peer may play facil- itat henri rickman 2007 justic downer pianta 2009 investig effect within classroom show languag skill classmat signific uniqu predictor growth even beyond attribut instruct qualiti mashburn specifi- calli higher posit relat outcom prekindergarten indic benefit aggreg contain older more cognit advanc particularli true find suggest age composit import understand factor influenc educ set provid inform characterist interact younger year old opportun would occur mix serv 3- 4-
Classroom Age Composition and Vocabulary Development Among At-Risk Preschoolers.pdf,3,"Presently, there is a great deal of variability in the age composition of preschool classrooms within the United States. Some classrooms, referred to as  same-age classrooms,  enroll only chil- dren within a particular age range, these typically enroll only 3-year-olds or only 4-year-olds. Other classrooms, characterized as mixed-age classrooms, have children whose ages may span several years (Goodlad & Anderson, 1987, McClellan, 1994) and may serve in one setting chil- dren as young as 3 years and as old as 5 or 6 years (e.g., Winsler et al., 2002). Although the way in which children are grouped within classrooms is highly variable, it is unclear whether class- room age composition has impacts on children’s growth, particularly in the area of vocabulary development. Therefore, the primary aim of this study was to determine the extent to which classroom age composition, operationalized based on variation in children’s chronological age, is associated with children’s vocabulary development over an academic year. In addressing this aim, we examined the vocabulary gains of 130 children enrolled in 16 preschool classrooms, which represented a subset of all children enrolled in these classrooms. Given that we did not have information on the ages of all children within the enrolled classrooms, the study represents an exploratory examination of the way in which classroom age composition may influence children’s language growth.",present great deal variabl age composit preschool classroom within some refer enrol chil- dren particular rang typic year old character mix child whose may span sever goodlad anderson 1987 1994 serv one set young e.g. winsler et al 2002 although way group highli unclear whether class- room impact ’s growth particularli area vocabulari develop therefor primari aim studi determin extent operation base variat chronolog associ academ address examin gain 130 16 repres subset all given not inform exploratori influenc languag
Classroom Age Composition and Vocabulary Development Among At-Risk Preschoolers.pdf,3,"The use of mixed-age classroom composition in the field of early childhood development has its roots in both social cognitive (Bandura, 1986, Rogers, 1987, Tierney & Rogers, 1989) and social",use mix age classroom composit field earli childhood develop root social cognit bandura 1986 roger 1987 tierney 1989
Classroom Age Composition and Vocabulary Development Among At-Risk Preschoolers.pdf,4,"cultural (Vygotsky, 1930 = 1978) theories of learning and development. From these perspectives, interacting with older, more competent peers seems developmentally beneficial to children because it affords younger children the opportunity to engage in more challenging tasks and therefore experience greater cognitive growth than children without such opportunities. At the same time, it affords older children in such settings the opportunity to scaffold younger children, which may also provide benefits. For instance, younger children can enrich their learning by observing, emulating, and imitating the behaviors of older children (Bandura, 1986), whereas older children can practice prosocial behaviors (Derscheid, 1997, Urberg & Kaplan, 1986) and leadership skills as they serve as mentors for young children by providing support and guid- ance (Wertsch, 1985). In short, mixed-age classrooms provide children with the opportunity to form relations with a wider variety of children compared with their counterparts in same-age classrooms. Whaley and Kantor (1992) explicitly discussed the positive advantages of mixed infant = toddler classrooms, arguing that such classrooms provide children with a ‘‘family’’ and collaborative atmosphere. These researchers also suggested that mixed-age classrooms might help to minimize competitive pressure in terms of academic development by making parents more focused on their children’s individual development, which thereby decreases the competition among peers in the classroom.",cultur vygotski 1930 1978 theori learn develop perspect interact older more compet peer seem development benefici child afford younger opportun engag challeng task therefor experi greater cognit growth than without time set scaffold may also provid benefit instanc can enrich observ emul imit behavior bandura 1986 wherea practic prosoci derscheid 1997 urberg kaplan leadership skill serv mentor young support guid- anc wertsch 1985 short mix age classroom form relat wider varieti compar counterpart whaley kantor 1992 explicitli discuss posit advantag infant toddler argu famili ’’ collabor atmospher research suggest might help minim competit pressur term academ make parent focus ’s individu therebi decreas among
Classroom Age Composition and Vocabulary Development Among At-Risk Preschoolers.pdf,4,"There are some arguments opposed to mixed-age classrooms that favor restricting the range of ages within preschool classrooms. For instance, in a recent study examining children’s learn- ing within mixed- and same-age classrooms, Moller, Forbes-Jones, and Hightower (2008) asserted that same-age classrooms allow teachers to target a specific age group in their curricu- lum, which allows them to focus on what is developmentally appropriate for that age group and thus may lead to better classroom quality. These researchers showed that preschoolers who are closer in age more closely resemble one another in terms of their skill and knowledge develop- ment. In addition, contrary to Whaley and Kantor’s (1992) assertion that older children nurture younger children in mixed-age classrooms, Goldman and Chaille´ (1984) found no evidence that older children engage in more nurturance or mentoring in mixed-age (3- to 5-year-old) groups compared to same-age groups. In general, it is somewhat unclear as to whether preschool-age children benefit from being in mixed- versus same-age classrooms and, if there is an advantage to either, whether this advantage extends to both older and younger children within the setting.",some argument oppos mix age classroom favor restrict rang within preschool instanc recent studi examin child ’s learn- ing mixed- moller forb jone hightow 2008 assert allow teacher target specif group curricu- lum focu development appropri thu may lead better qualiti research show closer more close resembl one anoth term skill knowledg develop- ment addit contrari whaley kantor 1992 older nurtur younger goldman chaill 1984 found no evid engag mentor 3- year old compar gener somewhat unclear whether benefit versu advantag either extend set
Classroom Age Composition and Vocabulary Development Among At-Risk Preschoolers.pdf,4,"Although there is a lack of congruence in findings among the available research on the effects of classroom age composition on child learning, researchers have considered how classroom age composition may be associated with preschoolers’ language skills indirectly by examining chil- dren’s communicative interactions with peers in mixed- and same-age programs. For example, the following year when the preschool adopted a mixed-age classroom model (3- to 4-year-olds). The researchers found that in the same-age classrooms, 4-year-olds tended to spend more time interacting with other children (as opposed to spending time alone) when given the choice compared to 3-year-olds, however, age differences in peer interaction were not found in the",although lack congruenc find among avail research effect classroom age composit child learn consid may associ preschool languag skill indirectli examin chil- dren ’s commun interact peer mixed- program exampl follow year when adopt mix model 3- old found tend spend more time oppos alon given choic compar howev differ not
Classroom Age Composition and Vocabulary Development Among At-Risk Preschoolers.pdf,5,"mixed-age classroom. Winsler et al. also found that over the span of 22 weeks, children in the mixed-age preschool classrooms significantly decreased the amount of time they spent interact- ing with peers of a different age. The results of this study would seem to suggest that children may prefer to interact with their same-age peers even when placed in mixed-age classrooms. based child care programs and found that the longer 4-year-olds spent in a mixed-age child care program, the more frequently they spoke to a 2-year-old peer with whom they were matched in social development, which in turn increases the talk between older and younger children. One limitation of this study, however, is that this was a forced pairing rather than a naturalistic obser- vation of classroom dynamics. It is interesting to note that the available research presents con- flicted findings regarding the experiences of children in mixed- and same-age classroom settings, moreover, it is difficult to extrapolate from such work how classroom age composition might influence children’s language development over time. It is possible, for instance, to speculate based on the Winsler et al. (2002) findings that variation in classroom age composition (i.e., being in a mixed- vs. same-age classroom) would have little impact on children’s language growth if, in either setting, children tend to interact with same-age peers.",mix age classroom winsler et al also found span 22 week child preschool significantli decreas amount time spent interact- ing peer differ result studi would seem suggest may prefer interact even when place base care program longer year old more frequent spoke match social develop turn increas talk older younger one limit howev forc pair rather than naturalist obser- vation dynam interest note avail research present con- flict find regard experi mixed- set moreov difficult extrapol work composit might influenc ’s languag possibl instanc specul 2002 variat i.e. vs. littl impact growth either tend
Classroom_age_composition_and_developmental change in 70 urban preschool classrooms.pdf,1,"A multilevel modeling approach was used to investigate the influence of age composition in 70 urban preschool classrooms. A series of hierarchical linear models demonstrated that greater variance in classroom age composition was negatively related to development on the Child Observation Record (COR) Cognitive, Motor, and Social subscales. This was true when controlling for class size, general classroom quality, and socioeconomic status at the classroom level and for age, gender, and baseline ability at the child level. Additionally, to address possible concerns related to nonrandom assignment to classrooms, a series of models were run including variance in developmental age (i.e., baseline ability) at the classroom level and at the child level. The results were consistent for chronological age composition and developmental age composition at the classroom level, greater variance in classroom developmental age composition was negatively related to Time 2 scores on the COR Cognitive, Motor, and Social subscales. Furthermore, a cross-level interaction indicated that negative influence of greater variance in classroom developmental age composition was stronger for children older in developmental age. Implications for early childhood education policy are discussed.",multilevel model approach use investig influenc age composit 70 urban preschool classroom seri hierarch linear demonstr greater varianc neg relat develop child observ record cor cognit motor social subscal true when control class size gener qualiti socioeconom statu level gender baselin abil addit address possibl concern nonrandom assign run includ development i.e. result consist chronolog time score furthermor cross interact indic stronger older implic earli childhood educ polici discuss
Classroom_age_composition_and_developmental change in 70 urban preschool classrooms.pdf,1,"There is a great deal of variability in the age composition of U.S. preschool classrooms. Some preschool programs tightly restrict the range of ages in their classrooms (e.g., 3-year-olds only). Other programs permit, and in some cases even promote, a wide range of ages in the same classroom (e.g., from 2.5 years to as old as 5 years). Such variability in practice follows from a lack of consen- sus in both the theoretical and the empirical literature on the effects of age composition of classrooms on individual learning. Research on the effects of classroom age composition on indi- vidual growth is not new. The theoretical writings of two pioneers in the field of early childhood development, Vygotsky and Piaget, are at odds with respect to the predicted impact of exposure of individual children to peers of variant ages on cognitive and social development (Bailey, Burchinal, & McWilliams, 1993, Hartup, 1993, Piaget, 1932, Rubin, Bukowski, & Parker 1998, Vygotsky,",great deal variabl age composit preschool classroom some program tightli restrict rang e.g. year old permit case even promot wide 2.5 practic follow lack consen- su theoret empir literatur effect individu learn research indi- vidual growth not new write two pioneer field earli childhood develop vygotski piaget odd respect predict impact exposur child peer variant cognit social bailey burchin mcwilliam 1993 hartup 1932 rubin bukowski parker 1998
Classroom_age_composition_and_developmental change in 70 urban preschool classrooms.pdf,1,"1930/1978). From one perspective, that of Piaget (1932) and others, interacting with peers who are close in age is preferable. Children close in age are also likely to be more closely matched in terms of knowledge, skill, and power. As a result, children in such a setting are able to engage in and resolve cognitive and social conflicts with each other and play a variety of roles in their resolution. By contrast, Vygotsky and others argued that interac- tion with older, more competent children provides an optimal context for cognitive and behavioral development (Vygotsky, 1930/1978). Interestingly, in the years since, relatively little empirical con- sensus has emerged. Yet despite a lack of consensus, the National Association for the Education of Young Children has given mixed- age classrooms its endorsement 1   (Bredekamp, 1987), in line with several researchers in the field (e.g., Katz, Evangelou, & Hartman, 1990, Whaley & Kantor, 1992). We now explore the extant liter- ature relating to preschool classroom age composition more closely.",1930/1978 one perspect piaget 1932 other interact peer close age prefer child also like more match term knowledg skill power result set abl engag resolv cognit social conflict play varieti role resolut contrast vygotski argu interac- tion older compet provid optim context behavior develop interestingli year sinc rel littl empir con- sensu emerg yet despit lack consensu nation associ educ young given mixed- classroom endors bredekamp 1987 line sever research field e.g. katz evangel hartman 1990 whaley kantor 1992 explor extant liter- atur relat preschool composit
Classroom_age_composition_and_developmental change in 70 urban preschool classrooms.pdf,1,"Proponents of mixed-age preschool classrooms typically focus on the age-specific benefits most relevant to the younger children in such groupings. For example, as already noted, Vygotsky (1930/ 1978) spoke of the (perhaps) optimal challenges inherent in class- room contexts that include children who are older and thus more mature. Similarly, social learning theorists have maintained that",propon mix age preschool classroom typic focu specif benefit most relev younger child group exampl alreadi note vygotski 1930/ 1978 spoke perhap optim challeng inher class- room context includ older thu more matur similarli social learn theorist maintain
Classroom_age_composition_and_developmental change in 70 urban preschool classrooms.pdf,1,"1  The National Association for the Education of Young Children’s (1996) most recent position statement does not take a position with regard to the age composition of preschool classrooms, and the recommendation for mixed-age classrooms extended by Bredekamp (1987) has not been retracted.",nation associ educ young child ’s 1996 most recent posit statement not take regard age composit preschool classroom recommend mix extend bredekamp 1987 retract
Classroom_age_composition_and_developmental change in 70 urban preschool classrooms.pdf,1,"Arlen C. Moller, Department of Psychology, Gettysburg College, and Children’s Institute, Inc., Rochester, New York, Emma Forbes-Jones, Dentistry, and Children’s Institute, Inc., A. Dirk Hightower, Department of Children’s Institute, Inc. We would like to thank those responsible for managing the Rochester Early Childhood Assessment Partnership Project, including Lauri Brugger, Susan Greenberg, Andrew MacGowan, Beverly Miller, and Kathy Slater. In partic- ular, we thank Walter Gramiak for his help and expertise in managing and cleaning the dataset from which these analyses were derived. Finally, we thank Guillermo Montes, Aaron Metzger, and Janis Cameron for their insightful Moller, Department of Psychology, Gettysburg College, Box 0407, 300 North Washington Street, Gettysburg, PA 17325. E-mail: amoller@ gettysburg.edu",arlen c. moller depart psycholog gettysburg colleg child ’s institut inc. emma forb jone dentistri a. dirk hightow would like thank respons manag rochest earli childhood assess partnership project includ lauri brugger susan greenberg andrew macgowan beverli miller kathi slater partic- ular walter gramiak help expertis clean dataset analysi deriv final guillermo mont aaron metzger jani cameron insight box 0407 300 pa 17325 mail amoller@ gettysburg.edu
Classroom_age_composition_and_developmental change in 70 urban preschool classrooms.pdf,2,"younger children benefit from being exposed to and modeling the behavior of older children (Bandura, 1986). In support, Rothstein- Fisch and Howes (1988) found that when toddlers interacted with slightly older peers, the younger children exhibited more complex language and engaged in more complex play in a family childcare setting. Howes and Farver (1987) similarly found that toddlers whose play partners were older peers engaged in more complex social play. Other advocates for mixed-age classrooms have posited that older children, too, may benefit from exposure to younger children (Katz et al., 1990, Lloyd, 1999). For example, in such settings older children are in a position to more readily practice prosocial behavior (Derscheid, 1997, Urberg & Kaplan, 1986) and leader- ship skills (French, Waas, Stright, & Baker, 1986), given their elevated status in mixed-age group interactions. Chapman (1994) found that older children in a mixed-age elementary school setting served as mentors for younger children both spontaneously and when asked. Although the specific benefits that have been linked to mixed-age peer interaction have thus far been age specific (i.e., only relevant to younger or older children), advocates of mixed- age classrooms maintain that the age-specific advantages are pre- sumably passed on as a child progresses through such a program (i.e., younger children will one day be older children in the same classroom), and thus an egalitarian ethic is preserved. Further research has suggested additional benefits of mixed-age classrooms for all children, regardless of age. For example, re- search by Goldman (1981) has suggested that both 3- and 4-year- olds in mixed-age preschool classrooms engaged in significantly less parallel (as opposed to interactive) forms of play, relative to those in same-age classrooms. An investigation by Urberg and Kaplan (1986) found that both older and younger children in mixed-age preschool classrooms exhibited greater interactive functional play and less parallel functional play, relative to those in same-age classrooms. Rubin, Maioni, and Hornung (1976) have argued that interactive play represents a more mature level of play, classrooms facilitate more mature play and therefore more optimal social–cognitive development. Whaley and Kantor (1992) suggested that mixed-age classrooms may help to lessen the likelihood of parents and caregivers to make comparisons among children in terms of development. Instead, mixed-age rooms allow parents to focus on each child’s develop- ment as an individual. As such, mixed-age classrooms may de- crease competition between peers, focusing children instead on more mastery-oriented goals. Many studies conducted with chil- dren, adolescents, and college students confirm that focusing on individual standards (i.e., mastery goals) is optimal in terms of maintaining both intrinsic motivation and achievement in the classroom (see Elliot & Dweck, 2005, and Nicholls, 1989, for reviews). Blasco, Bailey, and Burchinal (1993) found that children with developmental disabilities, in particular, were more likely to engage in mastery play when they were enrolled in mixed-age settings. Whaley and Kantor (1992) further speculated that benefits ex- tend to both children and teachers as a result of the “family climate” and continuity of care fostered by mixed-age classrooms. climate encountered when moving between restricted-age class- rooms at larger childcare facilities could be stressful for both the",younger child benefit expos model behavior older bandura 1986 support rothstein- fisch howe 1988 found when toddler interact slightli peer exhibit more complex languag engag play famili childcar set farver 1987 similarli whose partner social advoc mix age classroom posit may exposur katz et al 1990 lloyd 1999 exampl readili practic prosoci derscheid 1997 urberg kaplan leader- ship skill french waa stright baker given elev statu group chapman 1994 elementari school serv mentor spontan ask although specif link thu far i.e. relev mixed- maintain advantag pre- sumabl pass progress program one day egalitarian ethic preserv research suggest addit all regardless re- search goldman 1981 3- year- old preschool significantli less parallel oppos form rel investig greater function rubin maioni hornung 1976 argu repres matur level facilit therefor optim cognit develop whaley kantor 1992 help lessen likelihood parent caregiv make comparison among term instead room allow focu ’s develop- ment individu de- creas competit focus masteri orient goal mani studi conduct chil- dren adolesc colleg student confirm standard intrins motiv achiev see elliot dweck 2005 nichol 1989 review blasco burchin 1993 development disabl particular like enrol specul ex- tend teacher result climat continu care foster encount move restrict class- larger facil could stress
Classroom_age_composition_and_developmental change in 70 urban preschool classrooms.pdf,2,"teachers and the children. However, an empirical investigation into the perceived stress levels of children and teachers in such facil- ities has yet to be published. alent in mixed-age classrooms relative to restricted-age settings (Field, 1982, Lougee, Grueneich, & Hartup, 1977, Roopnarine et al., 1992, Roopnarine & Johnson, 1984). It seems that in mixed- age contexts, age plays a more powerful role than gender in peer playmate selection. Thus, at a society level, long-term promotion of gender equality might be better served by more preschools moving toward a greater diversity in terms of classroom age composition. Such an argument is highly speculative, as no em- pirical explorations into a relation between preschool classroom age composition and attitudes related to gender equality have been conducted. Finally, some research has supported the notion that mixed-age peer interactions occur naturally, outside the classroom context (Ellis, Rogoff, & Cromer, 1981). An observational study by Ellis et al. (1981) of 436 children ages 1–2 found that target children were with same-age peers in only 6% of the observations recorded, compared with 55% of the observations involving mixed-age peer interactions (with children who differed in age by at least 1 year). These findings related to naturalistic social interactions, however, are inconclusive to the extent that this may be because of peer accessibility or children actively seeking out companionship from mixed-age peers. Goldman’s (1981) research on mixed- versus same-age preschool classrooms demonstrated that—within mixed- age classrooms—age did not significantly influence choice of naturally better suited to developing in the context of mixed-age groups (Ellis et al., 1981, Whaley & Kantor, 1992).",teacher child howev empir investig perceiv stress level facil- iti yet publish alent mix age classroom rel restrict set field 1982 louge hartup 1977 roopnarin et al 1992 johnson 1984 seem mixed- context play more power role than gender peer playmat select thu societi long term promot equal might better serv preschool move toward greater divers composit argument highli specul no em- piric explor relat attitud conduct final some research support notion interact occur natur outsid elli rogoff cromer 1981 observ studi 436 1–2 found target record compar 55 involv differ least year find naturalist social inconclus extent may access activ seek companionship goldman ’s versu demonstr within not significantli influenc choic suit develop group whaley kantor
Classroom_age_composition_and_developmental change in 70 urban preschool classrooms.pdf,2,"The central argument in favor of restricting the range of age in preschool classrooms concerns a desire to provide each child with an optimal degree of challenge and the utility of specialization toward meeting this goal. As such, a criticism that has been levied against mixed-age classrooms in favor of more restricted-age pre- school groupings concerns the development of age-appropriate curriculum and staff training. Specifically, when teacher training and curriculum are uniquely focused on what is developmentally appropriate for a more restricted age range of children, the quality of the classroom climate will be higher. rooms facilitate more mature forms of play (Goldman, 1981, Howes & Farver, 1987, Rothstein-Fisch & Howes, 1998, Urberg & Kaplan, 1986), other researchers have found evidence to the contrary or suggestive of a more complex effect than is often highlighted. For example, Roopnarine et al. (1992) observed more social and nonsocial dramatic play in preschoolers attending same- age relative to mixed-age classrooms, whereas more social– constructive and nonsocial manipulative play was seen in mixed- age classrooms. Roopnarine et al. maintained that dramatic play was the more complex form of play relative to manipulative play, suggesting that same-age classrooms facilitated more sophisticated play behaviors. Urberg and Kaplan (1986) reported finding a greater incidence of interactive, mature forms of play in mixed-age preschool classrooms relative to same-age classrooms, however,",central argument favor restrict rang age preschool classroom concern desir provid child optim degre challeng util special toward meet goal critic levi mix more pre- school group develop appropri curriculum staff train specif when teacher uniqu focus development qualiti climat higher room facilit matur form play goldman 1981 howe farver 1987 rothstein fisch 1998 urberg kaplan 1986 research found evid contrari suggest complex effect than often highlight exampl roopnarin et al 1992 observ social nonsoci dramat attend same- rel wherea construct manipul seen mixed- maintain sophist behavior report find greater incid interact howev
